window_start,window_end,response_code,request_count,avg_response_time_ms,batch_id
2026-07-30T04:08:30.000Z,2026-07-30T04:08:40.000Z,400,7,127.1,5
2026-07-30T04:08:35.000Z,2026-07-30T04:08:45.000Z,200,168,164.2,5
2026-07-30T04:08:35.000Z,2026-07-30T04:08:45.000Z,404,11,178.5,5
2026-07-30T04:08:30.000Z,2026-07-30T04:08:40.000Z,503,1,1804.0,5
2026-07-30T04:08:35.000Z,2026-07-30T04:08:45.000Z,400,4,133.8,5
2026-07-30T04:08:35.000Z,2026-07-30T04:08:45.000Z,500,6,1895.7,5
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,400,9,214.6,5
2026-07-30T04:08:30.000Z,2026-07-30T04:08:40.000Z,500,9,1633.1,5
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,204,9,173.9,5
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,404,6,209.3,5
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,400,1,291.0,5
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,204,4,147.0,5
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,404,7,172.1,5
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,500,8,1572.1,5
2026-07-30T04:08:30.000Z,2026-07-30T04:08:40.000Z,204,7,134.6,5
2026-07-30T04:08:30.000Z,2026-07-30T04:08:40.000Z,404,9,200.8,5
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,200,83,163.3,5
2026-07-30T04:08:35.000Z,2026-07-30T04:08:45.000Z,204,7,133.1,5
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,500,3,2218.7,5
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,503,1,1219.0,5
2026-07-30T04:08:30.000Z,2026-07-30T04:08:40.000Z,200,165,164.6,5
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,200,164,160.3,5
2026-07-30T04:08:35.000Z,2026-07-30T04:08:45.000Z,503,2,1511.5,5
