window_start,window_end,response_code,request_count,avg_response_time_ms,batch_id
2026-07-30T04:07:35.000Z,2026-07-30T04:07:45.000Z,204,7,175.0,1
2026-07-30T04:07:30.000Z,2026-07-30T04:07:40.000Z,204,2,135.0,1
2026-07-30T04:07:35.000Z,2026-07-30T04:07:45.000Z,500,6,1897.8,1
2026-07-30T04:07:30.000Z,2026-07-30T04:07:40.000Z,500,2,2555.0,1
2026-07-30T04:07:40.000Z,2026-07-30T04:07:50.000Z,200,84,152.6,1
2026-07-30T04:07:40.000Z,2026-07-30T04:07:50.000Z,204,5,191.0,1
2026-07-30T04:07:35.000Z,2026-07-30T04:07:45.000Z,404,4,197.8,1
2026-07-30T04:07:30.000Z,2026-07-30T04:07:40.000Z,400,2,256.5,1
2026-07-30T04:07:40.000Z,2026-07-30T04:07:50.000Z,500,4,1569.3,1
2026-07-30T04:07:35.000Z,2026-07-30T04:07:45.000Z,200,123,153.7,1
2026-07-30T04:07:30.000Z,2026-07-30T04:07:40.000Z,200,39,156.2,1
2026-07-30T04:07:40.000Z,2026-07-30T04:07:50.000Z,400,3,237.0,1
2026-07-30T04:07:35.000Z,2026-07-30T04:07:45.000Z,400,5,244.8,1
2026-07-30T04:07:30.000Z,2026-07-30T04:07:40.000Z,404,1,299.0,1
2026-07-30T04:07:40.000Z,2026-07-30T04:07:50.000Z,404,3,164.0,1
