window_start,window_end,response_code,request_count,avg_response_time_ms,batch_id
2026-07-30T04:08:45.000Z,2026-07-30T04:08:55.000Z,400,3,204.0,6
2026-07-30T04:08:50.000Z,2026-07-30T04:09:00.000Z,200,170,154.6,6
2026-07-30T04:08:50.000Z,2026-07-30T04:09:00.000Z,404,8,171.8,6
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,200,85,156.0,6
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,204,7,85.0,6
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,404,2,115.5,6
2026-07-30T04:08:45.000Z,2026-07-30T04:08:55.000Z,500,6,2103.0,6
2026-07-30T04:08:50.000Z,2026-07-30T04:09:00.000Z,500,5,2168.4,6
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,404,11,146.2,6
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,400,3,223.7,6
2026-07-30T04:08:50.000Z,2026-07-30T04:09:00.000Z,204,9,115.3,6
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,400,2,191.0,6
2026-07-30T04:09:00.000Z,2026-07-30T04:09:10.000Z,200,1,82.0,6
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,204,9,174.4,6
2026-07-30T04:08:45.000Z,2026-07-30T04:08:55.000Z,503,1,1654.0,6
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,200,168,162.3,6
2026-07-30T04:08:45.000Z,2026-07-30T04:08:55.000Z,404,10,154.6,6
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,500,5,2092.0,6
2026-07-30T04:08:40.000Z,2026-07-30T04:08:50.000Z,503,2,1436.5,6
2026-07-30T04:08:45.000Z,2026-07-30T04:08:55.000Z,200,171,156.8,6
2026-07-30T04:08:50.000Z,2026-07-30T04:09:00.000Z,400,3,204.7,6
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,503,2,2292.5,6
2026-07-30T04:08:50.000Z,2026-07-30T04:09:00.000Z,503,2,2292.5,6
2026-07-30T04:08:45.000Z,2026-07-30T04:08:55.000Z,204,7,203.6,6
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,500,1,2028.0,6
