window_start,window_end,response_code,request_count,avg_response_time_ms,batch_id
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,200,170,166.3,7
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,404,5,160.2,7
2026-07-30T04:09:05.000Z,2026-07-30T04:09:15.000Z,200,176,151.4,7
2026-07-30T04:09:10.000Z,2026-07-30T04:09:20.000Z,500,4,1946.8,7
2026-07-30T04:09:05.000Z,2026-07-30T04:09:15.000Z,500,5,2027.2,7
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,204,9,105.4,7
2026-07-30T04:09:00.000Z,2026-07-30T04:09:10.000Z,500,4,2357.8,7
2026-07-30T04:09:10.000Z,2026-07-30T04:09:20.000Z,503,1,1808.0,7
2026-07-30T04:09:05.000Z,2026-07-30T04:09:15.000Z,503,2,2065.5,7
2026-07-30T04:09:00.000Z,2026-07-30T04:09:10.000Z,200,174,163.8,7
2026-07-30T04:09:00.000Z,2026-07-30T04:09:10.000Z,400,7,150.3,7
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,400,6,173.2,7
2026-07-30T04:09:00.000Z,2026-07-30T04:09:10.000Z,503,2,2543.5,7
2026-07-30T04:09:00.000Z,2026-07-30T04:09:10.000Z,404,4,154.5,7
2026-07-30T04:09:05.000Z,2026-07-30T04:09:15.000Z,400,5,126.6,7
2026-07-30T04:09:10.000Z,2026-07-30T04:09:20.000Z,400,2,119.0,7
2026-07-30T04:09:00.000Z,2026-07-30T04:09:10.000Z,204,7,166.9,7
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,503,3,2449.7,7
2026-07-30T04:09:05.000Z,2026-07-30T04:09:15.000Z,204,9,178.0,7
2026-07-30T04:09:10.000Z,2026-07-30T04:09:20.000Z,200,88,150.4,7
2026-07-30T04:09:10.000Z,2026-07-30T04:09:20.000Z,204,4,197.0,7
2026-07-30T04:08:55.000Z,2026-07-30T04:09:05.000Z,500,4,2277.5,7
2026-07-30T04:09:05.000Z,2026-07-30T04:09:15.000Z,404,1,48.0,7
